,Город,Адрес,Часы работы,Контактный телефон,Станция метро
0,г. Санкт-Петербург,"Малая Каштановая аллея, д.7","Пн. - Пт.: 07:30-16:00, Сб. - Вс.: 09:00 – 16:00",8(495)1398262,
1,г. Санкт-Петербург,"Комендантский проспект, д. 62","Пн. - Пт.: 7:30-19:00, Сб.: 7:30-14:00, Вс.: 8:00-14:00",8(495)1398262,
2,г. Санкт-Петербург,"Богатырский проспект, д. 49, корп. 1, литер А, пом. 27-Н","Пн. - Пт.: 7:30-19:00, Сб.: 7:30-14:00, Вс.: 8:00-14:00",8(495)1398262,
3,г. Санкт-Петербург,"Комендантский проспект, д. 51, корпус 1, литер А, пом. 81-Н","Пн. - Пт.: 7:30-19:00, Сб.: 7:30-14:00, Вс.: 8:00-14:00",8(495)1398262,
4,г. Санкт-Петербург,"ул. 13-я Красноармейская, д. 24а",Скоро открытие,8(495)1398262,
5,Санкт-Петербург – ул. Смоленская,33 лит. А,Пн. - Пт.: 9:00-17:00,8(495)1398262,
