,Город,Адрес,Часы работы,Контактный телефон,Станция метро
57,г. Санкт-Петербург,"Богатырский пр-т, д. 2А, стр. 1",,8(812)363-363-0,
58,г. Санкт-Петербург,"ул. Кременчугская, д. 11, корп. 2, литера А",,8(812)363-363-0,Площадь Восстания
59,г. Санкт-Петербург,"ул. 2-я Советская, д. 10",,8(812)363-363-0,Площадь Восстания
60,г. Санкт-Петербург,"ул. Боткинская, д. 1",,8(812)363-363-0,Площадь Ленина
61,г. Санкт-Петербург,"пр-т Металлистов, д. 111, литера А",,8(812)363-363-0,Площадь Ленина
62,г. Санкт-Петербург,"пр-т Непокоренных, д. 14/2, литера А",,8(812)363-363-0,Площадь Мужества
63,г. Санкт-Петербург,"ул. Октябрьская набережная, д. 44, с. 1",,8(812)363-363-0,Улица Дыбенко
64,г. Санкт-Петербург,"пр-т Лиговский, д.271. стр.1, пом 78Н",,8(812)363-363-0,Обводный канал
65,г. Санкт-Петербург,"Орлово-Денисовский пр-кт, д.19. к. 1, стр.1",,8(812)363-363-0,
66,г. Санкт-Петербург,"пр-т Юнтоловский, 43, корп. 14, стр. 1",,8(812)363-363-0,
67,г. Санкт-Петербург,"б-р Александра Грина, д. 2",,8(812)363-363-0,Приморская
68,г. Санкт-Петербург,"ул. Наличная, д. 40, к. 1",,8(812)363-363-0,Приморская
69,г. Санкт-Петербург,"ул. Капитанская, д. 4, литера А",,8(812)363-363-0,Приморская
70,г. Санкт-Петербург,"ул. Наличная, д. 49, литера А",,8(812)363-363-0,Приморская
71,г. Санкт-Петербург,"Приозерское шоссе, д. 18, к. 2",,8(812)363-363-0,
72,г. Санкт-Петербург," ул. Бабушкина, д. 84, к. 1",,8(812)363-363-0,Пролетарская
73,г. Санкт-Петербург,"пр-т Пятилеток, д. 10, корп. 2, литера А",,8(812)363-363-0,Проспект Большевиков
74,г. Санкт-Петербург,"ул. Коллонтай, д. 6, корп. 1, литера А",,8(812)363-363-0,Проспект Большевиков
75,г. Санкт-Петербург,"пр-кт Героев, д. 30, стр. 1",,8(812)363-363-0,Проспект Ветеранов
76,г. Санкт-Петербург,"Петергофское шоссе, д. 84, корп. 19, стр. 1",,8(812)363-363-0,Проспект Ветеранов
77,г. Санкт-Петербург,"ул. Генерала Симоняка, д. 4, корп. 1, литера А",,8(812)363-363-0,Проспект Ветеранов
78,г. Санкт-Петербург,"Дачный проспект, д. 17, корп. 4, литера А",,8(812)363-363-0,Автово
79,г. Санкт-Петербург,"пр-т Ветеранов, д. 171 /2, стр. 1",,8(812)363-363-0,Проспект Ветеранов
80,г. Санкт-Петербург,"пр-т Ветеранов, д. 158, литера А",,8(812)363-363-0,Проспект Ветеранов
81,г. Санкт-Петербург,"пр-т Просвещения, д. 27, литера А",,8(812)363-363-0,Проспект Просвещения
82,г. Санкт-Петербург,"пр-т Луначарского, д. 76, литера А",,8(812)363-363-0,Проспект Просвещения
83,г. Санкт-Петербург,"пр-т Просвещения, д. 53, корп. 1, литера А",,8(812)363-363-0,Проспект Просвещения
84,г. Санкт-Петербург,"пр-т Просвещения, д. 24/2.",,8(812)363-363-0,Проспект Просвещения
85,г. Санкт-Петербург,"ул. Будапештская, д. 67",,8(812)363-363-0,Проспект Славы
86,г. Санкт-Петербург,"г. Пушкин, ул. Магазейная, д. 47.",,8(812)363-363-0,
87,г. Санкт-Петербург,"Советский проспект, д. 39, к. 1",,8(812)363-363-0,Рыбацкое
88,г. Санкт-Петербург,"Светлановский пр-т, д. 66, литера А",,8(812)363-363-0,Гражданский проспект
89,г. Санкт-Петербург,"ул. Гражданская, д. 3, литера А",,8(812)363-363-0,Сенная площадь
90,г. Санкт-Петербург,"пос. Шушары, территория Славянка, ул. Ростовская, д. 19/3",,8(812)363-363-0,
91,г. Санкт-Петербург,"ул. Яблочкова, д. 22/3, литера А",,8(812)363-363-0,Спортивная
92,г. Санкт-Петербург,"Торфяная дорога, д. 17, к. 1",,8(812)363-363-0,
93,г. Санкт-Петербург,"ул. Туристская, д.24/42, литера А",,8(812)363-363-0,Старая Деревня
94,г. Санкт-Петербург,"пр-кт Новоколомяжский, д. 13, литера А",,8(812)363-363-0,Удельная
95,г. Санкт-Петербург,"пр-т Энгельса, д. 68, литера А",,8(812)363-363-0,Удельная
96,г. Санкт-Петербург,"п. Парголово, ул. Архитектора Белова, д. 5, к. 1,",,8(812)363-363-0,
97,г. Санкт-Петербург,"ул. Чайковского, д. 44, лит А, пом 3-Н",,8(812)363-363-0,Чернышевская
98,г. Санкт-Петербург,"Дальневосточный пр-т, д. 25, корп. 1, стр. 1",,8(812)363-363-0,Улица Дыбенко
99,г. Санкт-Петербург,"пр-т Солидарности, д. 14, корп. 1, литера А",,8(812)363-363-0,Улица Дыбенко
100,г. Санкт-Петербург,"ул. Дыбенко, д. 27, корп. 1, литера Х",,8(812)363-363-0,Улица Дыбенко
101,г. Санкт-Петербург,"ул. Дыбенко, д. 22, корп. 1 лит. Ю",,8(812)363-363-0,Улица Дыбенко
102,г. Санкт-Петербург,"Московский пр-т, д. 79, литера Б",,8(812)363-363-0,Фрунзенская
103,г. Санкт-Петербург,"ул. Парфеновская, д.9, корп. 1, стр. 1",,8(812)363-363-0,Балтийская
104,г. Санкт-Петербург,"ул. Савушкина, д. 16, литера А",,8(812)363-363-0,Чёрная речка
105,г. Санкт-Петербург,"ул. Белоостровская, д. 10, к. 1, с. 1",,8(812)363-363-0,
106,г. Санкт-Петербург,"ул. Фурштатская, д. 3, литера А",,8(812)363-363-0,Чернышевская
107,г. Санкт-Петербург,"Смольный пр., д. 17, стр.1",,8(812)363-363-0,Чернышевская
108,г. Санкт-Петербург,"ул. Ижорская, д. 13/39",,8(812)363-363-0,Чкаловская
