,Город,Адрес,Часы работы,Контактный телефон,Станция метро
70,Санкт-Петербург,"Коломяжский проспект, 15к2",,8 800 555-35-90,Пионерская
71,Санкт-Петербург,"улица Рихарда Зорге, 4к2",,8 800 555-35-90,Проспект Ветеранов
72,Санкт-Петербург,"улица Уточкина, 3к1",,8 800 555-35-90,Комендантский проспект
73,Санкт-Петербург,"Школьная улица, 68",,8 800 555-35-90,Старая Деревня
74,Санкт-Петербург,"улица Михаила Дудина, 25к2",,8 800 555-35-90,Парнас
75,Санкт-Петербург,"улица Савушкина, 115, корп.4",,8 800 555-35-90,Старая Деревня
76,Санкт-Петербург,"проспект Медиков, 10к1",,8 800 555-35-90,Петроградская
77,Санкт-Петербург,"проспект Луначарского, 15к1",,8 800 555-35-90,Озерки
78,Санкт-Петербург,"Владимирский проспект, 15",,8 800 555-35-90,Достоевская
79,Санкт-Петербург,"проспект Сизова, 21",,8 800 555-35-90,Пионерская
80,Санкт-Петербург,"проспект Большевиков, 25",,8 800 555-35-90,Улица Дыбенко
81,Санкт-Петербург,"Бухарестская улица, 118к1",,8 800 555-35-90,Дунайская
82,Санкт-Петербург,"Гжатская улица, 22к2",,8 800 555-35-90,Академическая
83,Санкт-Петербург,"Ланское шоссе, 14к1",,8 800 555-35-90,Чёрная речка
84,Санкт-Петербург,"аллея Поликарпова, 2",,8 800 555-35-90,Пионерская
85,Санкт-Петербург,"проспект Науки, 17к6",,8 800 555-35-90,Академическая
86,Санкт-Петербург,"проспект Большевиков, 11к2",,8 800 555-35-90,Улица Дыбенко
87,Санкт-Петербург,"проспект Просвещения, 87, корп.2",,8 800 555-35-90,Гражданский проспект
88,Санкт-Петербург,"Большеохтинский проспект, 31",,8 800 555-35-90,Новочеркасская
89,Санкт-Петербург,"проспект Просвещения, 33к2",,8 800 555-35-90,Проспект Просвещения
90,Санкт-Петербург,"улица Гжатская, 22, корп.4",,8 800 555-35-90,Академическая
91,Санкт-Петербург,"Светлановский проспект, 42, корп.1",,8 800 555-35-90,Академическая
92,Санкт-Петербург,"Рижская улица, 12",,8 800 555-35-90,Новочеркасская
93,Санкт-Петербург,"набережная реки Фонтанки, 110Б",,8 800 555-35-90,Садовая
94,Санкт-Петербург,"Московский проспект, 89",,8 800 555-35-90,Московские ворота
95,Санкт-Петербург,"Северный проспект, 1",,8 800 555-35-90,Озерки
96,Санкт-Петербург,"проспект Непокорённых, 6, корп.1",,8 800 555-35-90,Площадь Мужества
97,Санкт-Петербург,"Выборгское шоссе, 5к1И",,8 800 555-35-90,Озерки
98,Санкт-Петербург,"Невский проспект, 139",,8 800 555-35-90,Площадь Александра Невского 2
99,Санкт-Петербург,"бульвар Менделеева, 4",,8 800 555-35-90,Девяткино
100,Санкт-Петербург,"Исполкомская улица, 3, лит. А, пом. 3Н",,8 800 555-35-90,Площадь Александра Невского 1
101,Санкт-Петербург,"улица Бабушкина, 42к1",,8 800 555-35-90,Ломоносовская
102,Санкт-Петербург,"проспект Науки, 8к2",,8 800 555-35-90,Академическая
103,Санкт-Петербург,"Поварской переулок, 13",,8 800 555-35-90,Владимирская
104,Санкт-Петербург,"Новочеркасский проспект, 33",,8 800 555-35-90,Новочеркасская
105,Санкт-Петербург,"проспект Маршала Жукова, 54, корп. 6",,8 800 555-35-90,Проспект Ветеранов
106,Санкт-Петербург,"Лиговский проспект, 94А",,8 800 555-35-90,Лиговский проспект
107,Санкт-Петербург,"улица Оптиков, 34к1",,8 800 555-35-90,Старая Деревня
108,Санкт-Петербург,"проспект Энгельса, 150к1",,8 800 555-35-90,Проспект Просвещения
109,Санкт-Петербург,"14-я линия Васильевского острова, 7",,8 800 555-35-90,Василеостровская
110,Санкт-Петербург,"улица Восстания, 1Б",,8 800 555-35-90,Площадь Восстания
